,Weight (kg),Height (m),Fat_Percentage,Water_Intake (liters),BMI,Physical exercise,Proteins,Calories,BMI_calc,cal_from_macros,protein_per_kg,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc
12,82.66,1.96,24.128786918912287,3.5,21.52,0.01,71.6,2569.0,21.5170762182424,1446.67,0.8661988870070166,-131.6199999999999,62.7151447328271,1353.0887999999998,1.0393288237651286e+20
13,57.67,1.56,26.59443119940612,2.71,23.7,2.99,147.77,1726.0,23.6974030243261,2955.34,2.5623374371423617,-619.1999999999998,42.33299152730249,1110.4112,6.589947605531748e+19
14,71.79,1.97,24.477762525783994,3.59,18.5,0.02,82.59,2046.0,18.498286479940223,1654.72,1.1504387797743418,1302.15,54.21741428273968,535.245,1.0128287826913868e+20
15,95.12,1.85,28.04992817494376,2.3,27.79,0.96,118.86,2455.0,27.792549306062817,2384.3,1.2495794785534062,1161.16,68.4389083199935,863.376,1.0823075997537377e+20
16,56.88,1.71,21.80926489283508,2.69,19.45,0.01,76.8,1740.0,19.45213911972915,1538.55,1.350210970464135,-449.5799999999999,44.47489012895541,1280.8378000000002,7.2414058960355475e+19
17,76.48,1.77,30.300737914959768,2.09,24.41,-0.02,92.99,2166.0,24.411886750295253,1868.13,1.215873430962343,860.4000000000001,53.30599564263877,970.9856,1.0163119823163553e+20
18,72.56,1.79,26.40511440359576,1.58,22.65,0.02,87.27,1802.0,22.645984831934086,1750.89,1.202728776185226,998.64,53.40044898875092,538.0344,5.635999896524944e+19
19,60.05,1.68,21.804029360668224,2.51,21.28,0.01,99.4,1716.0,21.27621882086168,1985.6,1.6552872606161533,171.5999999999999,46.95668036891873,819.5382,8.695710965929193e+19
20,73.04,1.74,25.78541781279678,2.39,24.12,1.0,120.63,2038.0,24.124719249570617,2405.7,1.6515607886089811,914.8,54.20633082953324,694.0336000000001,5.854449039146325e+19
21,86.72,1.63,29.12385208982389,3.51,32.64,-0.01,103.91,2212.0,32.63954232376078,2062.16,1.198224169741697,886.0,61.46379546770473,1212.44,1.007508231431857e+20
22,76.77,1.71,29.31860660365026,1.82,26.25,1.01,89.25,2182.0,26.254232071406587,1775.4900000000002,1.1625635013677218,967.88,54.26210571037769,897.7122,9.366364978850316e+19
23,88.29,1.79,26.7693540494346,3.48,27.56,-0.01,69.19,2410.0,27.555319746574703,1392.84,0.783667459508438,578.19,64.65533730975419,1234.3232,8.783303595702269e+19
24,57.01,1.91,22.39259644326159,2.72,15.63,-0.0,71.05,1510.0,15.627312847783775,1421.78,1.2462725837572357,332.79999999999995,44.24398076769656,784.8872000000001,1.0897027971169038e+20
25,87.22,1.76,28.418499463942585,3.39,28.16,-0.0,118.4,2269.0,28.15728305785124,2375.5,1.3574868149506996,1201.62,62.43338476754927,1001.368,6.551887346392212e+19
26,105.44,1.88,30.892571504733954,2.28,29.83,0.02,79.79,3016.0,29.83250339520145,1587.97,0.7567336874051594,1738.14,72.86687260540852,945.3374,9.799195949776652e+19
27,102.34,1.94,32.46285886287696,2.41,27.19,-0.03,111.71,2624.0,27.192050164735893,2249.97,1.0915575532538595,1832.0,69.11751023973171,663.5880000000001,1.3220545409736293e+20
28,89.6,1.99,23.09052321392091,2.02,22.63,1.04,128.81,2601.0,22.62569127042246,2570.85,1.4376116071428573,753.0,68.91089120032686,950.18,6.719837975483025e+19
29,58.56,1.61,24.496921662616764,2.72,22.59,0.03,92.48,1549.0,22.591720998418268,1847.25,1.5792349726775956,-677.4200000000001,44.214602674371626,1270.188,5.939533204780424e+19
30,76.9,1.86,29.439410708808744,2.8,22.23,-0.0,82.81,1981.0,22.22800323736848,1659.36,1.076853055916775,1153.69,54.26109316492608,813.9469999999999,9.46641082220783e+19
31,52.57,1.84,14.84197561792194,3.1,15.53,-0.02,68.42,1497.0,15.527528355387522,1361.81,1.3015027582271257,172.20000000000005,44.76757341765843,955.8156,7.931882085297493e+19
32,126.53,1.83,35.0,2.09,37.78,0.02,122.78,3255.0,37.7825554659739,2443.9100000000003,0.9703627598198056,2464.32,82.2445,794.64,1.1187166638907102e+20
33,59.72,1.74,19.446703083030147,2.7,19.73,-0.03,80.05,1741.0,19.72519487382745,1609.46,1.3404219691895511,-804.4000000000001,48.1064289188144,1299.222,1.2172057792938766e+20
34,76.59,1.82,22.57558193854224,2.8,23.12,-0.02,76.42,1950.0,23.122207462866804,1512.84,0.9977803890847368,877.2,59.299361793270506,1025.3286,7.522408817832826e+19
35,79.99,1.76,28.830453231342894,3.5,25.82,0.01,94.49,2030.0,25.82321797520661,1885.37,1.1812726590823852,127.29999999999995,56.92852046024881,1135.2298,8.298301959150962e+19
36,127.55,1.73,35.0,2.91,42.62,-0.01,117.99,3313.0,42.61752814995489,2368.34,0.9250490003920032,1705.16,82.9075,345.93300000000005,2.7039504324756024e+16
37,56.96,1.7,23.5650452462822,2.7,19.71,-0.01,83.24,1390.0,19.70934256055364,1652.53,1.461376404494382,494.6,43.53735022771766,529.5588,1.0357764489369998e+20
38,56.53,1.51,28.50765309226645,2.11,24.79,0.01,85.55,1489.0,24.79277224683128,1719.13,1.513355740314877,177.08999999999992,40.414623706941775,905.7618,5.424739642634425e+19
39,88.2,1.98,21.047071801739808,3.5,22.5,1.0,118.19,2531.0,22.497704315886136,2371.53,1.340022675736961,-46.96000000000004,69.63648267086549,1211.5800000000002,6.28014935796977e+19
40,51.72,1.61,23.71315012526436,3.32,19.95,-0.02,86.75,1325.0,19.952933914586627,1731.8200000000002,1.6773008507347256,758.43,39.45555875521328,618.168,1.0739796722632149e+20
41,77.05,1.79,25.765634036189088,2.0,24.05,0.02,115.86,2334.0,24.047314378452608,2326.01,1.5036988968202467,484.46,57.19757897511631,928.928,5.586299631976124e+19
42,51.93,1.67,22.0592370284323,1.51,18.62,0.01,112.63,1353.0,18.620244540858405,2254.06,2.1688811862122086,-465.3,40.47463821113511,1052.64,8.828417234168848e+19
43,109.87,1.77,33.42563807603815,3.42,35.07,0.01,122.15,2728.0,35.069743687956844,2453.7700000000004,1.1117684536270138,1941.89,73.14525144585689,879.0292,1.3421086349236188e+20
44,102.83,1.75,29.93347627236046,2.21,33.58,-0.01,115.2,2657.0,33.57714285714286,2306.15,1.12029563356997,1653.2,72.04940634913174,1018.5839999999998,1.1856911182406684e+20
45,88.65,1.79,29.59749049937583,3.47,27.67,4.0,171.53,2621.0,27.66767579039356,3426.16,1.934912577552172,130.88999999999987,62.411824672303325,1300.302,1.4755428117472246e+20
46,80.78,1.9,22.6918319466272,3.5,22.38,-0.01,63.98,2174.0,22.37673130193906,1291.41,0.7920277296360485,-401.98,62.44953815351455,1280.412,9.86244052129226e+19
47,70.53,1.5,30.919318997894145,2.6,31.35,-0.04,85.89,1839.0,31.346666666666668,1736.25,1.2177796682262867,827.92,48.72260431078526,848.4929999999999,1.3293965745308955e+20
48,54.73,1.61,22.609754391390187,2.71,21.11,0.02,109.75,1549.0,21.11415454650669,2196.71,2.005298739265485,340.0,42.35568142159215,1033.261,5.803060592533536e+19
49,52.75,1.66,23.56556909365815,2.49,19.14,0.0,98.22,1446.0,19.142836405864426,1976.68,1.8619905213270145,197.47000000000003,40.319162303095325,882.9072,8.722111215022268e+19
50,84.36,1.76,26.90164503779492,3.5,27.23,0.02,100.12,2285.0,27.233987603305785,2010.82,1.1868183973447133,976.62,61.665772246116205,1182.4512,9.04444714158298e+19
51,59.66,1.76,21.52076364412733,2.7,19.26,0.01,80.95,1789.0,19.260072314049587,1616.8300000000002,1.356855514582635,1.5799999999999272,46.82071240991363,1159.4176,6.355219783796852e+19
52,59.98,1.71,21.92316157235524,2.02,20.51,-0.02,72.16,1648.0,20.51229438117712,1436.74,1.2030676892297432,148.96000000000004,46.83048768890132,495.7024,8.944440180628534e+17
53,76.83,1.62,28.97544940228808,2.29,29.28,1.99,125.01,2268.0,29.27526291723822,2499.71,1.627098789535338,1268.03,54.56816222422206,959.4058,7.710153036907836e+19
54,58.43,1.61,27.545948725226136,2.01,22.54,-0.01,87.44,1771.0,22.54156861232205,1756.88,1.4964915283244908,475.0,42.33490215985037,841.824,8.803784642430412e+19
55,71.32,1.88,23.967493304534432,2.21,20.18,-0.0,101.44,1934.0,20.178813942960616,2043.3,1.4223219293325855,1268.5,54.226383775206045,404.052,1.2833047475887165e+20
56,55.58,1.71,20.39435029298726,2.7,19.01,-0.02,81.81,1656.0,19.00755788105742,1632.0600000000002,1.471932349766103,-383.97,44.24482010715768,1336.0928,6.964652405070684e+19
57,44.9,1.68,20.66838612087244,2.42,15.91,0.02,113.61,1242.0,15.908446712018142,2268.2000000000003,2.530289532293987,149.3800000000001,35.61989463172827,682.9620000000001,6.520318021230184e+19
58,59.21,1.51,24.98062256347282,2.71,25.97,-0.02,72.39,1872.0,25.968159291259155,1448.56,1.222597534200304,-548.4200000000001,44.41897338016774,1201.3534,9.80820903163355e+19
59,87.68,1.63,29.90042295012659,3.5,33.0,3.99,163.87,2558.0,33.00086567051828,3279.35,1.8689552919708028,505.7800000000002,61.46330915732901,1302.245,1.4253342479682047e+20
60,63.63,1.54,29.042268221161752,2.71,26.83,0.02,89.45,1918.0,26.82998819362456,1781.56,1.4057834354864058,190.27,45.150404730874776,1223.3536,1.3167903430942632e+20
61,109.54,1.91,30.72971438912612,2.22,30.03,-0.0,122.84,2956.0,30.026589183410547,2454.23,1.1214168340332298,1890.4,75.87867085815125,1058.5256,1.0310565329637687e+20
62,125.88,1.86,35.0,2.2,36.39,0.0,120.07,3424.0,36.38570933055844,2388.17,0.953844931680966,2463.2,81.822,732.86,1.2581223830195688e+20
63,70.32,1.68,29.252529769449342,2.51,24.91,0.02,119.65,1861.0,24.91496598639456,2395.48,1.7015073947667807,713.6400000000001,49.74962106612322,600.996,7.41320319230946e+18
64,85.56,1.69,28.59816726529328,3.49,29.96,-0.02,80.59,2366.0,29.95693428101257,1609.59,0.941912108461898,523.78,61.09140808781508,1227.2826,8.003253582627902e+19
65,64.38,1.78,22.68075382819338,1.79,20.32,0.0,84.99,1731.0,20.31940411564196,1701.96,1.320130475302889,292.21000000000004,49.7781306854091,968.9316,1.1985324638547704e+20
66,60.51,1.59,27.30236727987143,2.21,23.93,-0.05,81.36,1615.0,23.93497092678296,1624.99,1.3445711452652451,602.08,43.98933755894979,574.1719999999999,5.481329790836477e+18
67,69.13,1.58,28.50902646757633,2.0,27.69,1.01,101.9,1995.0,27.691876301874693,2038.99,1.4740344278894837,921.31,49.42171000296448,999.045,6.084742341222583e+19
68,97.49,1.96,26.502290685568045,3.4,25.38,0.98,109.74,2502.0,25.3774468971262,2209.69,1.1256539132218688,1034.42,71.65291681063971,1009.4736,1.3961804453535234e+20
69,85.97,1.82,28.148384968178654,3.5,25.95,3.0,99.54,2466.0,25.953991063881173,1995.73,1.1578457601488892,-341.1100000000001,61.77083344285681,1335.1912,6.926358736374583e+19
70,56.0,1.57,28.373558365381864,2.42,22.72,1.0,83.47,1433.0,22.7189744005842,1663.3100000000002,1.4905357142857143,471.83,40.11080731538616,660.9968,6.944649974571399e+19
71,47.69,1.76,19.119865654275376,1.5,15.4,0.01,118.76,1410.0,15.395790289256198,2367.45,2.4902495282029777,10.799999999999956,38.57173606947608,731.2092000000001,7.673732219072645e+19
72,64.01,1.63,26.843215360604923,2.19,24.09,-0.01,85.59,1758.0,24.091986902028683,1716.35,1.3371348226839557,1177.2,46.8276578476768,473.9196,1.0649808991667972e+20
73,62.43,1.59,26.635811730396675,2.18,24.69,-0.0,86.76,1857.0,24.69443455559511,1743.98,1.3897164824603556,676.2,45.80126273671336,840.1392,7.0789577991987536e+19
74,42.16,1.66,21.13820340651529,1.88,15.3,0.03,133.7,1142.0,15.299753229786615,2663.17,3.1712523719165087,660.2,33.24813344381315,490.3702,6.177260203562338e+19
75,87.22,1.69,29.381819818670085,3.51,30.54,4.0,116.49,2619.0,30.53814642344456,2342.64,1.33558816785141,808.01,61.59317675415595,1195.7976,7.442425478026176e+19
76,76.15,1.82,26.70870756569342,2.8,22.99,0.03,76.31,1891.0,22.98937326409854,1523.88,1.0021011162179907,459.4100000000001,55.81131918872447,1024.3154,7.461907692645315e+19
77,127.92,1.92,32.137482441866815,3.0,34.7,0.0,93.24,3376.0,34.700520833333336,1864.45,0.7288930581613507,2164.38,86.80973246036397,863.73,7.2899055427281535e+19
78,58.82,1.76,23.042199944788766,1.69,18.99,4.0,119.17,1760.0,18.98889462809917,2378.41,2.0260115606936417,1344.58,45.26657799247525,427.8204,6.750629534629783e+19
79,82.17,1.66,30.284776579530742,3.5,29.82,2.02,106.58,2327.0,29.81927710843373,2128.98,1.2970670561032007,266.2199999999998,57.28499908459958,1372.4964,7.98441716232852e+19
80,60.3,1.74,20.866060956213715,2.69,19.92,-0.03,80.56,1844.0,19.916765755053508,1613.9899999999998,1.3359867330016584,-253.52,47.71776524340313,1305.0532,1.206079496042868e+20
81,79.51,1.59,32.375722484306486,1.51,31.45,0.06,83.89,2204.0,31.45049642023654,1676.82,1.0550874103886303,253.66000000000008,53.76806305272791,1064.3568,1.0783815397003724e+20
82,55.68,1.55,23.802880356141856,1.8,23.18,0.0,86.97,1686.0,23.175858480749216,1738.9,1.5619612068965516,871.72,42.42655621770022,748.7153999999999,5.5219924935451935e+19
83,66.62,1.85,20.625549461389365,3.2,19.47,1.01,116.97,1625.0,19.46530314097881,2350.9300000000003,1.755779045331732,586.5999999999999,52.8792589488224,870.6748,1.3299854805945549e+20
84,103.9,1.68,34.33074085871076,3.48,36.81,2.02,121.46,2877.0,36.812641723356016,2434.27,1.1690086621751683,1637.57,68.23036024779952,907.4376,9.002546178546839e+19
85,82.51,1.95,26.181430169818924,3.5,21.7,-0.02,112.06,2381.0,21.69888231426693,2228.55,1.3581384074657616,174.80000000000018,60.90770196688241,1277.5644,6.501440595796797e+19
86,62.99,1.53,28.83336054527089,2.7,26.91,3.0,146.28,1952.0,26.90845401341365,2920.57,2.3222733767264643,444.28,44.82786619253388,1381.8414,1.0400405808507185e+20
87,43.56,1.77,18.550935162257385,1.6,13.9,0.01,111.49,1264.0,13.904050560183856,2214.55,2.5594582185491275,471.28,35.479212643320686,395.448,1.854021851618852e+17
88,73.18,1.79,21.10685278795888,1.62,22.84,-0.03,88.29,2062.0,22.83948690739989,1753.16,1.206477179557256,1520.8,57.7340051297717,544.7751999999999,5.6443209041840775e+19
89,51.78,1.74,24.925648637912527,2.0,17.1,0.05,94.96,1524.0,17.10265556876734,1895.73,1.8339127076091155,739.2,38.873499135288895,725.613,5.737974127854371e+19
90,70.91,1.72,27.330750246929725,2.61,23.97,0.02,92.08,1946.0,23.969037317468903,1844.64,1.298547454519814,213.92000000000007,51.52976499990213,878.224,6.077334514612436e+19
91,62.21,1.63,25.792049793569173,2.69,23.41,-0.0,87.58,1806.0,23.41450562685837,1742.15,1.4078122488345926,-594.5500000000002,46.164765823420616,1111.992,5.4758784594990326e+19
92,51.25,1.59,24.917111505699467,1.8,20.27,-0.01,79.89,1252.0,20.272141133657687,1610.95,1.558829268292683,-130.4000000000001,38.47998035332903,848.9472000000001,5.567075917535405e+19
93,51.38,1.65,23.58927482645203,2.29,18.87,0.01,93.15,1430.0,18.87235996326906,1859.67,1.8129622421175555,163.95000000000005,39.25983059416895,965.4336,6.080296694587763e+19
94,66.37,1.62,26.57930595192323,2.19,25.29,0.01,83.98,1692.0,25.28959000152416,1669.5,1.2653307217116168,899.28,48.72931463970855,556.096,8.16878367135614e+19
95,109.07,1.91,27.77303969159638,2.2,29.9,-0.02,122.92,2768.0,29.89775499575121,2453.69,1.1269826716787386,1700.62,78.77794560837583,1057.608,1.0237779769485536e+20
96,48.5,1.64,26.83565657002728,2.48,18.03,-0.02,87.46,1372.0,18.03242117787032,1752.56,1.8032989690721648,19.75,35.48470656353677,870.05,8.257514073956108e+19
97,64.4,1.71,21.370673578146025,1.79,22.02,-0.04,82.8,1688.0,22.023870592660995,1669.22,1.2857142857142856,332.79999999999995,50.63728621567396,763.1904000000001,6.942985384209818e+19
98,54.63,1.57,27.02522771544833,2.42,22.16,-0.01,82.01,1576.0,22.16317091971277,1636.67,1.5011898224418818,277.9200000000001,39.86611809905058,901.3586,7.515268758640499e+19
99,50.32,1.61,24.75825434838593,2.69,19.41,0.99,124.84,1231.0,19.41283129508892,2497.67,2.4809220985691574,-575.1800000000001,37.8616464118922,861.7266000000001,1.8192583243998872e+19
100,69.06,1.65,26.6521134151114,2.71,25.37,0.02,101.94,1920.0,25.366391184573008,2047.91,1.476107732406603,1109.6799999999998,50.65405047552407,841.1724,7.150378042007159e+19
101,73.38,1.55,32.0880694353723,2.01,30.54,0.01,75.78,1951.0,30.54318418314256,1510.67,1.0327064595257565,1221.9299999999998,49.8337746483238,610.2658,1.2921794536764857e+20
102,68.77,1.74,21.510634310436764,2.31,22.71,4.02,122.86,1807.0,22.71436121019949,2467.99,1.7865348262323688,209.9300000000001,53.97713678471264,1070.5136,1.130408604468042e+20
103,102.84,1.89,30.99245737603172,3.08,28.79,1.01,114.39,2633.0,28.78978751994625,2283.52,1.1123103850641771,2276.92,70.967356834489,394.686,1.2308962960892428e+20
104,49.31,1.62,19.86285138369088,2.5,18.79,-0.01,99.43,1346.0,18.78905654625819,1983.69,2.01642668829852,-210.29999999999995,39.51562798270203,780.806,5.462380011810222e+19
105,61.25,1.55,27.795914840801764,1.62,25.49,-0.01,79.67,1620.0,25.4942767950052,1582.0700000000002,1.300734693877551,214.83,44.22500216000891,942.526,1.1522958092628622e+20
106,60.21,1.79,19.74443286702576,2.68,18.79,0.01,89.14,1664.0,18.79154832870385,1781.89,1.480484969274207,125.03999999999996,48.32187697076379,1361.5064,7.792655247311987e+19
107,58.91,1.56,24.30438665383292,2.62,24.21,-0.01,122.1,1689.0,24.20693622616699,2427.8,2.0726531997963,23.029999999999973,44.59228582222703,441.5292,3.057708373992923e+17
108,86.65,1.76,32.37718066224315,3.49,27.97,2.02,109.4,2403.0,27.97326962809917,2204.46,1.2625504904789382,1242.37,58.59517295616631,831.2216,7.417694526913316e+19
109,76.46,1.96,24.04088273843092,2.31,19.9,-0.07,97.05,2041.0,19.90316534777176,1927.17,1.269291132618363,1377.7,58.07834105819571,445.8314,5.718292838525799e+19
110,76.57,1.97,25.522052180732533,2.61,19.73,-0.01,78.38,2220.0,19.72995954546625,1557.34,1.023638500718297,1124.69,57.02776464521309,794.7167999999999,8.362754608632644e+19
111,111.91,1.85,33.8338844815787,3.57,32.7,0.98,112.18,3011.0,32.69831994156318,2264.52,1.002412653024752,2168.6,74.04649987666527,819.7488,8.713980577013064e+19
112,126.66,1.67,35.0,2.19,45.42,0.0,118.88,3265.0,45.41575531571587,2364.37,0.93857571451129,1337.8,82.329,1067.1432,1.2311714796376203e+20
113,126.44,1.83,35.0,2.11,37.76,0.05,123.12,3287.0,37.755680969870696,2451.96,0.9737424865548876,2108.82,82.186,790.4898000000001,1.154895073113722e+20
114,70.05,1.55,30.96431118443072,1.51,29.16,0.03,111.76,1909.0,29.15712799167533,2253.81,1.5954318344039973,868.4000000000001,48.359500015306274,608.02,9.381529203055963e+19
115,55.56,1.73,22.03459272374685,2.7,18.56,1.01,121.29,1440.0,18.56393464532728,2420.3900000000003,2.1830453563714904,-524.0899999999999,43.31758028268624,1100.736,5.039280183919778e+19
116,81.51,1.86,24.35505975682122,3.5,23.56,-0.03,90.86,2115.0,23.560527228581336,1811.47,1.114709851551957,-475.29,61.65819079221503,1259.4342,8.23621931822592e+19
117,70.74,1.52,27.665167218433474,1.98,30.62,-0.01,127.97,1902.0,30.618074792243764,2559.26,1.809018942606729,331.20000000000005,51.16966070968016,878.1486,1.3311639798553875e+20
118,88.72,1.68,33.54846201915898,3.5,31.43,-0.03,78.21,2334.0,31.4342403628118,1565.6,0.8815374211000901,952.34,58.95580449660216,1199.4936,6.637795794457502e+19
119,40.41,1.76,16.372166889573982,2.21,13.05,-0.01,99.57,1328.0,13.045583677685949,2003.4,2.4639940608760207,360.0,33.79400735992315,534.432,5.9047926130853405e+19
120,104.98,1.88,28.96784777827399,2.29,29.7,0.02,79.85,2867.0,29.70235400633772,1588.7,0.7606210706801295,1101.15,74.56955340236797,958.5556,1.0324705210183002e+20
121,89.7,1.81,24.79921393602853,3.5,27.38,-0.01,113.15,2638.0,27.380116602057324,2265.24,1.2614269788182833,660.7,67.45510509938241,1201.3872,9.81046343896409e+19
122,85.21,1.85,27.50205103691949,3.49,24.9,0.02,125.15,2440.0,24.89700511322133,2514.41,1.4687243281305014,499.29,61.775502311440896,1207.5504,1.1840944743786956e+20
123,82.15,1.72,26.239898015868665,2.73,27.77,-0.0,88.64,2206.0,27.76838831800974,1775.48,1.0790018259281802,1226.8,60.5939237799639,697.9452,7.182894475708823e+19
124,76.43,1.62,29.395578278704896,2.61,29.12,0.99,80.5,2094.0,29.122847126962352,1604.78,1.053251341096428,788.4000000000001,53.96295952158586,902.9856,5.616626080357273e+19
125,43.89,1.62,18.700011995703427,2.0,16.72,0.03,68.59,1281.0,16.723822588020116,1372.75,1.5627705627705628,591.3,35.68256473508577,384.3396,6.370636703214735e+19
126,77.76,1.78,26.25514926206454,2.57,24.54,-0.01,114.08,2071.0,24.54235576316122,2283.26,1.4670781893004117,211.3499999999999,57.34399593381862,990.6096,8.910963440216295e+19
127,62.72,1.86,20.48472401946511,2.89,18.13,0.01,61.33,1671.0,18.129263498670365,1223.78,0.9778380102040816,677.4,49.87198109499148,992.496,1.078871612431397e+20
128,46.15,1.9,15.571617568572533,2.91,12.78,-0.01,71.33,1252.0,12.78393351800554,1427.66,1.5456121343445288,-668.3800000000001,38.96369849210378,979.243,6.452895816476063e+19
129,59.04,1.78,22.006132703441487,2.7,18.63,0.03,112.28,1637.0,18.634010857215,2250.28,1.901761517615176,-749.2600000000002,46.04757925188815,1102.8346,5.374020585507445e+19
130,84.33,1.74,28.45389592185136,2.1,27.85,0.01,73.95,2210.0,27.85374554102259,1477.6,0.8769121309142655,1247.28,60.33482956910275,1058.2664,1.1499608644382409e+20
131,121.23,2.0,25.89281483291118,3.33,30.31,0.01,96.32,3333.0,30.3075,1928.55,0.7945228078858367,2430.0,89.84014057806178,874.35,8.596831790783445e+19
132,64.49,1.63,22.674511856849705,2.69,24.27,0.04,97.66,1803.0,24.27264857540743,1963.27,1.5143433090401612,-442.0999999999999,49.86720730351762,1058.9022,6.384539993623783e+19
133,74.13,1.76,24.36805630843466,1.52,23.93,0.01,71.54,1987.0,23.931430785123965,1440.37,0.9650613786591126,1159.69,56.065959858557385,852.4949999999999,1.3814963371505956e+20
134,46.13,1.5,24.245785745448824,2.01,20.5,1.04,114.97,1343.0,20.502222222222223,2297.62,2.492304357251246,428.89,34.94541903562446,958.2168,8.09611712227484e+19
135,59.73,1.65,23.46457319606598,2.7,21.94,1.0,125.01,1574.0,21.93939393939394,2499.07,2.0929181315921648,-812.2600000000002,45.71461042998978,1226.0805999999998,1.2767549116341623e+20
136,59.33,1.83,18.17478963836032,2.29,17.72,-0.01,86.76,1649.0,17.716265042252676,1736.74,1.462329344345188,353.0,48.54689730756082,957.987,9.669320920919908e+19
137,48.82,1.52,24.23699391402382,1.58,21.13,-0.02,71.03,1132.0,21.130540166204987,1419.81,1.454936501433839,497.8200000000001,36.98749957117357,701.7408,1.2319973543754075e+20
138,59.59,1.78,22.919448604808995,2.21,18.81,2.0,138.1,1603.0,18.807600050498674,2760.1400000000003,2.317502936734351,1049.61,45.932300576394326,611.3016,1.1880896280089068e+20
139,70.54,1.62,28.878120036343265,1.8,26.88,-0.02,87.65,2112.0,26.878524615150127,1744.17,1.242557414233059,1471.87,50.169374126363465,366.4208,7.814786305217036e+19
140,86.69,1.77,26.43717196851418,2.8,27.67,-0.02,101.72,2339.0,27.67084809601328,2034.9500000000005,1.1733763986618988,1387.81,63.771615620495055,667.1808,6.342909841286872e+19
141,51.69,1.79,19.123150543213058,2.98,16.13,-0.0,88.31,1505.0,16.132455291657564,1749.02,1.7084542464693366,152.26,41.80524348421317,751.5424,6.123390973687637e+19
142,48.81,1.77,16.307540650728594,3.51,15.58,4.02,154.31,1488.0,15.579814229627502,3091.6,3.161442327391928,512.09,40.850289408379375,992.932,6.114452982007483e+19
143,61.76,1.52,23.711457786959848,2.7,26.73,1.0,122.16,1937.0,26.73130193905817,2437.72,1.9779792746113989,-207.38999999999987,47.1158036707736,1330.1538,1.1764039415762983e+20
144,55.38,1.6,21.591266031899025,2.68,21.63,-0.01,86.3,1699.0,21.6328125,1710.5500000000002,1.558324304803178,-997.46,43.42275687153432,1367.0369999999998,1.1301532956305388e+20
145,122.07,1.88,35.0,3.59,34.54,-0.02,80.39,3114.0,34.53768673607968,1576.64,0.6585565659048087,2127.5,79.3455,817.9808000000002,1.223213047522702e+20
146,79.31,1.73,27.99586288268801,1.52,26.5,0.03,90.32,2126.0,26.49938187042668,1798.09,1.1388223427058377,200.41000000000008,57.10648114774015,979.9228,6.135326137823891e+19
147,61.49,1.66,21.1641633369954,1.71,22.31,0.02,90.81,1700.0,22.31455944258964,1813.61,1.476825500081314,778.46,48.47615596408153,612.8328,5.2803706167927824e+19
148,41.14,1.65,19.5595514518067,2.18,15.11,0.01,84.99,1258.0,15.111111111111112,1693.92,2.065872630043753,446.94000000000005,33.093200532726726,831.8982,6.531352060576465e+19
