,Weight (kg),Height (m),Fat_Percentage,Water_Intake (liters),BMI,Physical exercise,Proteins,Calories,BMI_calc,cal_from_macros,protein_per_kg,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,
71,47.69,1.76,19.119865654275400,1.5,15.4,0.01,118.76,1410.0,15.395790289256200,2367.45,2.4902495282029800,10.800000000000000,38.57173606947610,731.2092000000000,76737322190726500000.0000000000000000000,
72,64.01,1.63,26.843215360604900,2.19,24.09,-0.01,85.59,1758.0,24.091986902028700,1716.35,1.3371348226839600,1177.2,46.8276578476768,473.9196,106498089916680000000.00000000000000000000,
73,62.43,1.59,26.635811730396700,2.18,24.69,0.0,86.76,1857.0,24.69443455559510,1743.98,1.3897164824603600,676.2,45.80126273671340,840.1392,70789577991987500000.00000000000000000000,
74,42.16,1.66,21.13820340651530,1.88,15.3,0.03,133.7,1142.0,15.299753229786600,2663.17,3.1712523719165100,660.2,33.24813344381320,490.3702,61772602035623400000.0000000000000000000,
75,87.22,1.69,29.381819818670100,3.51,30.54,4.0,116.49,2619.0,30.53814642344460,2342.64,1.33558816785141,808.01,61.59317675415600,1195.7976,74424254780261800000.0000000000000000000,
76,76.15,1.82,26.70870756569340,2.8,22.99,0.03,76.31,1891.0,22.98937326409850,1523.88,1.0021011162179900,459.4100000000000,55.81131918872450,1024.3154,74619076926453200000.0000000000000000000,
77,127.92,1.92,32.137482441866800,3.0,34.7,0.0,93.24,3376.0,34.700520833333300,1864.45,0.7288930581613510,2164.38,86.80973246036400,863.73,72899055427281500000.00000000000000000000,
78,58.82,1.76,23.042199944788800,1.69,18.99,4.0,119.17,1760.0,18.98889462809920,2378.41,2.0260115606936400,1344.58,45.26657799247530,427.8204,67506295346297800000.0000000000000000000,
79,82.17,1.66,30.284776579530700,3.5,29.82,2.02,106.58,2327.0,29.81927710843370,2128.98,1.2970670561032000,266.2200000000000,57.28499908459960,1372.4964,79844171623285200000.000000000000000000,
80,60.3,1.74,20.866060956213700,2.69,19.92,-0.03,80.56,1844.0,19.916765755053500,1613.9900000000000,1.3359867330016600,-253.52,47.71776524340310,1305.0532,120607949604287000000.0000000000000000000,
81,79.51,1.59,32.375722484306500,1.51,31.45,0.06,83.89,2204.0,31.45049642023650,1676.82,1.0550874103886300,253.66000000000000,53.76806305272790,1064.3568,107838153970037000000.00000000000000000000,
82,55.68,1.55,23.802880356141900,1.8,23.18,0.0,86.97,1686.0,23.175858480749200,1738.9,1.5619612068965500,871.72,42.42655621770020,748.7154000000000,55219924935451900000.00000000000000000000,
83,66.62,1.85,20.625549461389400,3.2,19.47,1.01,116.97,1625.0,19.46530314097880,2350.9300000000000,1.755779045331730,586.6000000000000,52.8792589488224,870.6748,132998548059455000000.00000000000000000000,
84,103.9,1.68,34.33074085871080,3.48,36.81,2.02,121.46,2877.0,36.812641723356000,2434.27,1.1690086621751700,1637.57,68.23036024779950,907.4376,90025461785468400000.0000000000000000000,
85,82.51,1.95,26.181430169818900,3.5,21.7,-0.02,112.06,2381.0,21.69888231426690,2228.55,1.3581384074657600,174.80000000000000,60.90770196688240,1277.5644,65014405957968000000.0000000000000000000,
86,62.99,1.53,28.83336054527090,2.7,26.91,3.0,146.28,1952.0,26.90845401341370,2920.57,2.3222733767264600,444.28,44.82786619253390,1381.8414,104004058085072000000.00000000000000000000,
87,43.56,1.77,18.550935162257400,1.6,13.9,0.01,111.49,1264.0,13.904050560183900,2214.55,2.5594582185491300,471.28,35.479212643320700,395.448,185402185161885000.0000000000000000000,
88,73.18,1.79,21.10685278795890,1.62,22.84,-0.03,88.29,2062.0,22.83948690739990,1753.16,1.206477179557260,1520.8,57.7340051297717,544.7752000000000,56443209041840800000.00000000000000000000,
89,51.78,1.74,24.925648637912500,2.0,17.1,0.05,94.96,1524.0,17.10265556876730,1895.73,1.8339127076091200,739.2,38.873499135288900,725.613,57379741278543700000.0000000000000000000,
90,70.91,1.72,27.330750246929700,2.61,23.97,0.02,92.08,1946.0,23.969037317468900,1844.64,1.298547454519810,213.92000000000000,51.52976499990210,878.224,60773345146124400000.0000000000000000000,
91,62.21,1.63,25.792049793569200,2.69,23.41,0.0,87.58,1806.0,23.41450562685840,1742.15,1.4078122488345900,-594.5500000000000,46.164765823420600,1111.992,54758784594990300000.00000000000000000000,
92,51.25,1.59,24.917111505699500,1.8,20.27,-0.01,79.89,1252.0,20.272141133657700,1610.95,1.558829268292680,-130.4000000000000,38.47998035332900,848.9472000000000,55670759175354100000.0000000000000000000,
93,51.38,1.65,23.58927482645200,2.29,18.87,0.01,93.15,1430.0,18.87235996326910,1859.67,1.8129622421175600,163.95000000000000,39.25983059416900,965.4336,60802966945877600000.0000000000000000000,
94,66.37,1.62,26.57930595192320,2.19,25.29,0.01,83.98,1692.0,25.28959000152420,1669.5,1.2653307217116200,899.28,48.72931463970850,556.096,81687836713561400000.000000000000000000,
95,109.07,1.91,27.77303969159640,2.2,29.9,-0.02,122.92,2768.0,29.89775499575120,2453.69,1.1269826716787400,1700.62,78.77794560837580,1057.608,102377797694855000000.00000000000000000000,
96,48.5,1.64,26.83565657002730,2.48,18.03,-0.02,87.46,1372.0,18.03242117787030,1752.56,1.8032989690721600,19.75,35.48470656353680,870.05,82575140739561100000.0000000000000000000,
97,64.4,1.71,21.370673578146000,1.79,22.02,-0.04,82.8,1688.0,22.023870592661000,1669.22,1.2857142857142900,332.80000000000000,50.63728621567400,763.1904000000000,69429853842098200000.0000000000000000000,
98,54.63,1.57,27.02522771544830,2.42,22.16,-0.01,82.01,1576.0,22.16317091971280,1636.67,1.5011898224418800,277.9200000000000,39.86611809905060,901.3586,75152687586405000000.0000000000000000000,
99,50.32,1.61,24.75825434838590,2.69,19.41,0.99,124.84,1231.0,19.41283129508890,2497.67,2.4809220985691600,-575.1800000000000,37.8616464118922,861.7266000000000,18192583243998900000.00000000000000000000,
100,69.06,1.65,26.6521134151114,2.71,25.37,0.02,101.94,1920.0,25.366391184573000,2047.91,1.476107732406600,1109.6800000000000,50.65405047552410,841.1724,71503780420071600000.0000000000000000000,
101,73.38,1.55,32.0880694353723,2.01,30.54,0.01,75.78,1951.0,30.54318418314260,1510.67,1.0327064595257600,1221.9300000000000,49.8337746483238,610.2658,129217945367649000000.00000000000000000000,
102,68.77,1.74,21.510634310436800,2.31,22.71,4.02,122.86,1807.0,22.71436121019950,2467.99,1.7865348262323700,209.9300000000000,53.97713678471260,1070.5136,113040860446804000000.0000000000000000000,
103,102.84,1.89,30.99245737603170,3.08,28.79,1.01,114.39,2633.0,28.78978751994630,2283.52,1.1123103850641800,2276.92,70.967356834489,394.686,123089629608924000000.00000000000000000000,
104,49.31,1.62,19.86285138369090,2.5,18.79,-0.01,99.43,1346.0,18.78905654625820,1983.69,2.01642668829852,-210.30000000000000,39.51562798270200,780.806,54623800118102200000.0000000000000000000,
105,61.25,1.55,27.795914840801800,1.62,25.49,-0.01,79.67,1620.0,25.4942767950052,1582.0700000000000,1.300734693877550,214.83,44.22500216000890,942.526,115229580926286000000.00000000000000000000,
106,60.21,1.79,19.74443286702580,2.68,18.79,0.01,89.14,1664.0,18.79154832870390,1781.89,1.480484969274210,125.04000000000000,48.32187697076380,1361.5064,77926552473119900000.0000000000000000000,
107,58.91,1.56,24.30438665383290,2.62,24.21,-0.01,122.1,1689.0,24.20693622616700,2427.8,2.0726531997963,23.030000000000000,44.59228582222700,441.5292,305770837399292000.0000000000000000000,
108,86.65,1.76,32.37718066224320,3.49,27.97,2.02,109.4,2403.0,27.97326962809920,2204.46,1.2625504904789400,1242.37,58.59517295616630,831.2216,74176945269133200000.0000000000000000000,
109,76.46,1.96,24.04088273843090,2.31,19.9,-0.07,97.05,2041.0,19.90316534777180,1927.17,1.269291132618360,1377.7,58.07834105819570,445.8314,57182928385258000000.0000000000000000000,
110,76.57,1.97,25.522052180732500,2.61,19.73,-0.01,78.38,2220.0,19.72995954546630,1557.34,1.023638500718300,1124.69,57.02776464521310,794.7168000000000,83627546086326400000.0000000000000000000,
111,111.91,1.85,33.8338844815787,3.57,32.7,0.98,112.18,3011.0,32.69831994156320,2264.52,1.002412653024750,2168.6,74.04649987666530,819.7488,87139805770130600000.0000000000000000000,
112,126.66,1.67,35.0,2.19,45.42,0.0,118.88,3265.0,45.41575531571590,2364.37,0.93857571451129,1337.8,82.329,1067.1432,123117147963762000000.00000000000000000000,
113,126.44,1.83,35.0,2.11,37.76,0.05,123.12,3287.0,37.755680969870700,2451.96,0.9737424865548880,2108.82,82.186,790.4898000000000,115489507311372000000.0000000000000000000,
114,70.05,1.55,30.96431118443070,1.51,29.16,0.03,111.76,1909.0,29.15712799167530,2253.81,1.5954318344040000,868.4000000000000,48.359500015306300,608.02,93815292030559600000.0000000000000000000,
115,55.56,1.73,22.03459272374690,2.7,18.56,1.01,121.29,1440.0,18.56393464532730,2420.3900000000000,2.1830453563714900,-524.0900000000000,43.31758028268620,1100.736,50392801839197800000.0000000000000000000,
116,81.51,1.86,24.35505975682120,3.5,23.56,-0.03,90.86,2115.0,23.560527228581300,1811.47,1.114709851551960,-475.29,61.65819079221500,1259.4342,82362193182259200000.000000000000000000,
117,70.74,1.52,27.665167218433500,1.98,30.62,-0.01,127.97,1902.0,30.618074792243800,2559.26,1.809018942606730,331.20000000000000,51.16966070968020,878.1486,133116397985539000000.00000000000000000000,
118,88.72,1.68,33.54846201915900,3.5,31.43,-0.03,78.21,2334.0,31.4342403628118,1565.6,0.8815374211000900,952.34,58.95580449660220,1199.4936,66377957944575000000.0000000000000000000,
119,40.41,1.76,16.372166889574000,2.21,13.05,-0.01,99.57,1328.0,13.045583677685900,2003.4,2.4639940608760200,360.0,33.79400735992320,534.432,59047926130853400000.00000000000000000000,
120,104.98,1.88,28.96784777827400,2.29,29.7,0.02,79.85,2867.0,29.70235400633770,1588.7,0.7606210706801300,1101.15,74.56955340236800,958.5556,103247052101830000000.00000000000000000000,
121,89.7,1.81,24.79921393602850,3.5,27.38,-0.01,113.15,2638.0,27.380116602057300,2265.24,1.2614269788182800,660.7,67.45510509938240,1201.3872,98104634389640900000.000000000000000000,
122,85.21,1.85,27.50205103691950,3.49,24.9,0.02,125.15,2440.0,24.89700511322130,2514.41,1.4687243281305000,499.29,61.775502311440900,1207.5504,118409447437870000000.00000000000000000000,
123,82.15,1.72,26.239898015868700,2.73,27.77,0.0,88.64,2206.0,27.76838831800970,1775.48,1.0790018259281800,1226.8,60.5939237799639,697.9452,71828944757088200000.0000000000000000000,
124,76.43,1.62,29.395578278704900,2.61,29.12,0.99,80.5,2094.0,29.122847126962400,1604.78,1.053251341096430,788.4000000000000,53.96295952158590,902.9856,56166260803572700000.0000000000000000000,
125,43.89,1.62,18.700011995703400,2.0,16.72,0.03,68.59,1281.0,16.723822588020100,1372.75,1.5627705627705600,591.3,35.68256473508580,384.3396,63706367032147400000.0000000000000000000,
126,77.76,1.78,26.25514926206450,2.57,24.54,-0.01,114.08,2071.0,24.54235576316120,2283.26,1.4670781893004100,211.3500000000000,57.34399593381860,990.6096,89109634402163000000.0000000000000000000,
127,62.72,1.86,20.48472401946510,2.89,18.13,0.01,61.33,1671.0,18.129263498670400,1223.78,0.9778380102040820,677.4,49.87198109499150,992.496,107887161243140000000.0000000000000000000,
128,46.15,1.9,15.571617568572500,2.91,12.78,-0.01,71.33,1252.0,12.78393351800550,1427.66,1.5456121343445300,-668.3800000000000,38.96369849210380,979.243,64528958164760600000.0000000000000000000,
129,59.04,1.78,22.006132703441500,2.7,18.63,0.03,112.28,1637.0,18.634010857215,2250.28,1.901761517615180,-749.2600000000000,46.04757925188820,1102.8346,53740205855074500000.0000000000000000000,
130,84.33,1.74,28.45389592185140,2.1,27.85,0.01,73.95,2210.0,27.85374554102260,1477.6,0.8769121309142650,1247.28,60.33482956910280,1058.2664,114996086443824000000.00000000000000000000,
131,121.23,2.0,25.89281483291120,3.33,30.31,0.01,96.32,3333.0,30.3075,1928.55,0.7945228078858370,2430.0,89.84014057806180,874.35,85968317907834500000.0000000000000000000,
132,64.49,1.63,22.674511856849700,2.69,24.27,0.04,97.66,1803.0,24.27264857540740,1963.27,1.5143433090401600,-442.1000000000000,49.86720730351760,1058.9022,63845399936237800000.0000000000000000000,
133,74.13,1.76,24.36805630843470,1.52,23.93,0.01,71.54,1987.0,23.931430785124000,1440.37,0.9650613786591130,1159.69,56.065959858557400,852.4950000000000,138149633715060000000.00000000000000000000,
134,46.13,1.5,24.245785745448800,2.01,20.5,1.04,114.97,1343.0,20.502222222222200,2297.62,2.492304357251250,428.89,34.94541903562450,958.2168,80961171222748400000.000000000000000000,
135,59.73,1.65,23.46457319606600,2.7,21.94,1.0,125.01,1574.0,21.93939393939390,2499.07,2.0929181315921600,-812.2600000000000,45.71461042998980,1226.0806000000000,127675491163416000000.00000000000000000000,
136,59.33,1.83,18.17478963836030,2.29,17.72,-0.01,86.76,1649.0,17.716265042252700,1736.74,1.462329344345190,353.0,48.54689730756080,957.987,96693209209199100000.0000000000000000000,
137,48.82,1.52,24.23699391402380,1.58,21.13,-0.02,71.03,1132.0,21.130540166205000,1419.81,1.454936501433840,497.8200000000000,36.98749957117360,701.7408,123199735437541000000.00000000000000000000,
138,59.59,1.78,22.919448604809000,2.21,18.81,2.0,138.1,1603.0,18.807600050498700,2760.1400000000000,2.317502936734350,1049.61,45.932300576394300,611.3016,118808962800891000000.00000000000000000000,
139,70.54,1.62,28.878120036343300,1.8,26.88,-0.02,87.65,2112.0,26.878524615150100,1744.17,1.242557414233060,1471.87,50.169374126363500,366.4208,78147863052170400000.0000000000000000000,
140,86.69,1.77,26.43717196851420,2.8,27.67,-0.02,101.72,2339.0,27.67084809601330,2034.9500000000000,1.1733763986619000,1387.81,63.771615620495100,667.1808,63429098412868700000.0000000000000000000,
